date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:30	5339/5339	---M-Z	200	added ('OK')	application/javascript	etag:%2214db-5e1506f2ccd8f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/jquery-countdown/jquery.countdown.min.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/jquery-countdown/jquery.countdown.min.js	(from https://coderthemes.com/ubold/layouts/creative/pages-coming-soon.html)
15:22:31	350/350	---M-Z	200	added ('OK')	application/javascript	etag:%2215e-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/coming-soon.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/coming-soon.init.js	(from https://coderthemes.com/ubold/layouts/creative/pages-coming-soon.html)
15:22:31	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5e1506f2ceccf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/magnific-popup/magnific-popup.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/magnific-popup/magnific-popup.css	(from https://coderthemes.com/ubold/layouts/creative/pages-gallery.html)
15:22:31	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-5e1506f2ceccf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/magnific-popup/jquery.magnific-popup.min.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/magnific-popup/jquery.magnific-popup.min.js	(from https://coderthemes.com/ubold/layouts/creative/pages-gallery.html)
15:22:31	767/767	---M-Z	200	added ('OK')	application/javascript	etag:%222ff-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/gallery.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/gallery.init.js	(from https://coderthemes.com/ubold/layouts/creative/pages-gallery.html)
15:22:32	951/951	---M--	200	added ('OK')	image/png	etag:%223b7-5e1506f2a1e0f%22	https://coderthemes.com/ubold/layouts/creative/assets/images/logo-sm-light.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/images/logo-sm-light.png	(from https://coderthemes.com/ubold/layouts/creative/layouts-two-column.html)
15:22:32	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2008:22:27%20GMT	https://coderthemes.com/ubold/layouts/creative/layouts-horizontal.html	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/layouts-horizontal.html	(from https://coderthemes.com/ubold/layouts/creative/layouts-two-column.html)
15:22:33	5405/5405	---M--	200	added ('OK')	image/png	etag:%22151d-5e1506f2ccd8f%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/hopscotch/img/sprite-green.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/hopscotch/img/sprite-green.png	(from https://coderthemes.com/ubold/layouts/creative/assets/libs/hopscotch/css/hopscotch.min.css)
15:22:33	3080/3080	---M--	200	added ('OK')	image/png	etag:%22c08-5e1506f2d2b50%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/multiselect/img/switch.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/multiselect/img/switch.png	(from https://coderthemes.com/ubold/layouts/creative/assets/libs/multiselect/css/multi-select.css)
15:22:34	5344/5344	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2214e0-5e1506f2c508f%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/dropify/fonts/dropify.eot	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/dropify/fonts/dropify.eot	(from https://coderthemes.com/ubold/layouts/creative/assets/libs/dropify/css/dropify.min.css)
15:22:34	3052/3052	---M--	200	added ('OK')	font/woff	etag:%22bec-5e1506f2c508f%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/dropify/fonts/dropify.woff	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/dropify/fonts/dropify.woff	(from https://coderthemes.com/ubold/layouts/creative/assets/libs/dropify/css/dropify.min.css)
15:22:34	5180/5180	---M--	200	added ('OK')	font/ttf	etag:%22143c-5e1506f2c508f%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/dropify/fonts/dropify.ttf	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/dropify/fonts/dropify.ttf	(from https://coderthemes.com/ubold/layouts/creative/assets/libs/dropify/css/dropify.min.css)
15:22:34	1969/1969	---M--	200	added ('OK')	image/svg+xml	etag:%227b1-5e1506f2c508f%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/dropify/fonts/dropify.svg	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/dropify/fonts/dropify.svg	(from https://coderthemes.com/ubold/layouts/creative/assets/libs/dropify/css/dropify.min.css)
15:22:35	1849/1849	---M--	200	added ('OK')	image/gif	etag:%22739-5e1506f2e15b0%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/x-editable/bootstrap-editable/img/loading.gif	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/x-editable/bootstrap-editable/img/loading.gif	(from https://coderthemes.com/ubold/layouts/creative/assets/libs/x-editable/bootstrap-editable/css/bootstrap-editable.css)
15:22:35	509/509	---M--	200	added ('OK')	image/png	etag:%221fd-5e1506f2e15b0%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/x-editable/bootstrap-editable/img/clear.png	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/x-editable/bootstrap-editable/img/clear.png	(from https://coderthemes.com/ubold/layouts/creative/assets/libs/x-editable/bootstrap-editable/css/bootstrap-editable.css)
